Code,locataire,dipsup,appart,chomage,urba,persagee,pauvrete,jeune,ville
01,35.8,8.9,36,5.9,67,17.7,10.7,30.4,0
02,36.7,4.1,23.7,11.1,53.2,20.2,18.4,29.8,0
03,33,4.9,27.6,8.3,58.3,27.4,15.4,24.8,0
04,36.9,7.5,38,9.1,61.9,26.1,16.6,24.7,0
05,35.6,7.7,56.2,7.8,59.5,24.4,13.9,25.3,0
06,41.1,12,75.6,8.6,95.9,24.4,15.8,26.1,1
07,30.5,5.9,24.5,8.6,63.3,24.8,14.3,25.8,0
08,37.8,4,28.2,9.5,57.3,21.3,18.6,28,0
09,30.7,5.9,19.1,9.8,55.5,26,17.9,24.5,0
10,40.3,5.4,33.4,10,61.3,21.4,16.3,29.7,0
11,35,6.1,28.3,10.5,61.6,25.9,20.2,25.6,0
12,28.4,5.5,25.7,5.9,47.7,27.2,13.8,24.4,0
13,46.6,12.3,61.8,9.1,99.3,20.4,18.3,29.5,1
14,41.3,8,38.7,7.1,68.9,21.4,12.1,29.8,0
15,27.1,4.4,23.9,4.3,35.3,27.8,13,22.7,0
16,31.2,5.7,16.5,7.5,46.7,25,14.6,25.4,0
17,32.8,6.5,21.6,7.9,60.9,27.4,12.5,24.6,0
18,31.1,5.4,20.1,7.8,55.3,25.6,14,25.4,0
19,29.2,5.4,21.1,6.4,55.6,27.4,13,24.2,0
21,38,9.4,45.1,5.8,62.9,20.9,11.2,29.8,0
22,27.5,6.2,17.1,6.8,60.8,25.8,11.6,26.4,0
23,24.3,4.4,12.9,7.1,21.4,30.1,18.1,21.6,0
24,28.9,5.3,15,7.7,49,28.7,16,22.9,0
25,38.7,7.7,48.1,7.3,65.4,19.5,12.1,30.9,0
26,35.8,7.6,35.3,8.5,71.3,21.7,14.6,28.6,0
27,33,5.8,21.9,7.8,55.9,19.1,12.5,30,0
28,32.2,6,25.7,7,61.4,20.3,11.9,29.5,0
29,29.6,8.1,26,6.6,77.9,23,10.4,27.6,0
2A,38.3,7.3,47,6.5,73.5,23.9,16,24.1,0
2B,40.7,8,48.1,7.3,70.2,22.9,19.8,25.8,0
30,38.3,7.5,36.6,10.6,82.1,22.9,19.6,27.8,0
31,45.8,17.3,49.9,8,86.8,16.6,13.2,31.7,1
32,28.2,6.6,17.8,6.1,36.1,27.5,14.7,23.7,0
33,43.4,11.9,37.7,7.2,86.7,19.2,12.6,29.9,1
34,44.3,11.9,50.7,10.9,89.1,21.5,19,29.6,1
35,39.1,11.3,39.7,5.8,73.3,17.9,10.3,32.2,1
36,29.9,4.1,16.5,7.4,54.9,27.8,14.5,24.1,0
37,39.5,9,36.5,6.8,76.8,21.5,12.6,29.4,0
38,36.9,12.2,49.9,6.5,81.2,18.3,11.5,31.5,0
39,32.1,5.2,34.2,5.3,46.7,23.4,11.4,27,0
40,31.8,5.8,26.3,7.6,62.9,25.1,11.5,24.8,0
41,29.9,5.7,19,6.3,57.5,24.8,12.5,26.5,0
42,39.6,6.3,48.2,7.6,80.2,22.3,15.1,29.8,1
43,27.8,4.8,21.9,6.1,49.2,24,11.9,26.5,0
44,37.2,11.5,38,6.5,84.6,18.1,10.1,31.3,1
45,36.4,8.3,31.2,7.2,74.9,20,13.3,30.5,0
46,27.5,6.5,15.4,7.8,39.5,29.6,14.8,22.2,0
47,33,5.2,19.6,7.9,64.6,26.2,16.8,25.6,0
48,30.8,5.6,21.3,4.9,37,25.3,14.7,25.2,0
49,38.7,7.3,29.2,7,82.9,19.7,11.4,31.7,0
50,35.3,5,18.3,5.6,52,24.6,11.4,26.2,0
51,46.6,7.7,43.9,7.4,66.5,19.4,14.5,30.8,1
52,33.2,3.8,25,6.5,44.9,24.7,14.8,25.6,0
53,32.2,4.9,18.7,5.2,51,22,11.3,29.7,0
54,41.1,8.3,45.8,7.5,76.8,19.2,15,30.7,0
55,30.2,3.9,23.1,7.5,41.2,22.5,14.4,27.1,0
56,31,6.7,25.1,6.5,68.4,24.2,11,26.6,0
57,37.6,7.1,44.4,7.8,75.1,19.5,15.6,27.6,0
58,30.1,4.5,21.4,6.5,48.5,29.1,15.5,23.4,0
59,43.8,9.2,33.2,9.8,91.5,16.9,18.9,33.1,1
60,36.8,7,32.1,7.9,66.4,16.8,12.9,31.5,0
61,34.1,4.3,19.6,7.2,41.8,25.8,15.1,26.4,0
62,40.5,4.5,22,9,82.1,18.6,18.4,31.1,0
63,36.4,9.4,36,6.8,68.8,21.5,13.1,28.6,0
64,36.2,9.6,48.2,6.4,78.4,24,12.1,25.8,0
65,32.6,6.2,38.7,8.8,62.2,26.7,14.7,24.6,0
66,37.4,6.8,43,12.3,87.5,26,20.7,26.2,0
67,41.5,10.7,53.3,6.7,80,18.2,13.2,29.6,1
68,37.5,7.5,47.7,7.8,78.9,19.6,13,28.2,0
69,49.7,16.6,70.1,7.1,94.6,17,14.2,33.1,1
70,29.2,4.5,22.9,6.8,42.6,22.7,12.9,27.1,0
71,34.2,5.4,29.6,6.6,59.2,25.6,12.9,25.7,0
72,34.3,5.6,23.8,7.7,64.8,21.8,13.2,29.6,0
73,37,8.8,61.4,6.5,77.2,20.5,10.1,28.1,0
74,37.2,10.6,59.4,6.5,86.4,16.8,9.4,29.5,0
75,61.7,39.5,96.9,6.4,100,17,15,26.8,1
76,45.7,7.3,43.4,8.6,76.6,19.8,14.8,30.5,1
77,36.4,8.8,41.4,7.3,83.7,14.5,11.7,33.4,0
78,39.2,20.6,56.8,6.7,93,16.4,9.9,32.3,0
79,29.6,5.5,13.5,5.6,55.2,23.3,12.2,27.2,0
80,37.9,6.3,25.4,9.1,56.8,19.8,15.9,30.6,0
81,31,6.5,20.7,8,67.4,25.1,15.1,26.3,0
82,31.4,5.7,20.9,9.1,69.4,22.1,16.4,28.4,0
83,38.4,8,51.9,8.2,95.5,26,15.3,25.3,1
84,41.2,7.7,35,10.1,91,22.1,19.7,28.4,0
85,26.8,4.5,15.7,5.9,67.7,24.3,9.1,27.1,0
86,36.7,7.9,25,6.3,60.3,21.9,14.1,29.9,0
87,35.8,7.3,33.2,7,64.6,24.6,15.5,27.1,0
88,34,4.4,34.5,8.2,68.9,23.8,15.2,26.4,0
89,30.5,5,21.9,7.1,43.1,24.2,14.5,26.6,0
90,42.7,9.1,52.3,9,81.4,19.7,14.7,29.8,0
91,39.6,13.5,52.7,6.9,96.1,15.1,13.3,33.4,0
92,54.9,30.7,87.3,6.6,100,15.2,11.9,30.9,0
93,59.2,10.1,74.6,10.9,100,11.9,27.9,35.4,0
94,52.6,17.9,76.7,7.7,100,14.8,16.6,32.2,0
95,42.2,10.8,54.4,8.8,96,13.5,17,34.7,0
